0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:23:49 +0900] "GET /day38_css_js/images/hero11.png HTTP/1.1" 200 39700
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:24:28 +0900] "GET /day38_css_js/html/index.html HTTP/1.1" 200 2647
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:24:28 +0900] "GET /day38_css_js/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:24:28 +0900] "GET /day38_css_js/images/hero12.png HTTP/1.1" 200 28861
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:24:28 +0900] "GET /day38_css_js/images/hero13.png HTTP/1.1" 200 30978
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:24:28 +0900] "GET /day38_css_js/images/hero15.png HTTP/1.1" 200 31175
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:24:28 +0900] "GET /day38_css_js/images/hero14.png HTTP/1.1" 200 32585
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:24:28 +0900] "GET /day38_css_js/images/hero16.png HTTP/1.1" 200 26787
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:24:28 +0900] "GET /day38_css_js/images/hero17.png HTTP/1.1" 200 35429
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:24:28 +0900] "GET /day38_css_js/images/hero19.png HTTP/1.1" 200 24394
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:24:28 +0900] "GET /day38_css_js/images/hero18.png HTTP/1.1" 200 33658
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:24:28 +0900] "GET /day38_css_js/images/hero20.png HTTP/1.1" 200 29650
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:24:28 +0900] "GET /day38_css_js/images/hero23.png HTTP/1.1" 200 25380
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:24:28 +0900] "GET /day38_css_js/images/hero22.png HTTP/1.1" 200 27264
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:24:28 +0900] "GET /day38_css_js/images/hero21.png HTTP/1.1" 200 33780
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:24:28 +0900] "GET /day38_css_js/images/hero24.png HTTP/1.1" 200 29878
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:24:28 +0900] "GET /day38_css_js/images/hero25.png HTTP/1.1" 200 24308
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:24:28 +0900] "GET /day38_css_js/images/hero29.png HTTP/1.1" 200 29790
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:24:28 +0900] "GET /day38_css_js/images/hero26.png HTTP/1.1" 200 27809
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:24:28 +0900] "GET /day38_css_js/images/hero28.png HTTP/1.1" 200 26388
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:24:28 +0900] "GET /day38_css_js/images/hero27.png HTTP/1.1" 200 30810
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:24:28 +0900] "GET /day38_css_js/images/hero30.png HTTP/1.1" 200 30187
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:24:54 +0900] "GET /day38_css_js/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:24:54 +0900] "GET /day38_css_js/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:38:40 +0900] "GET /day38_css_js/html/index.html HTTP/1.1" 304 -
